STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AL,35903,30,27,3,19,30,0.6333333333333333,3489,0.008598452278589854,0.9,0.1
AL,35904,21,19,2,7,21,0.3333333333333333,3489,0.0060189165950128975,0.9047619047619048,0.09523809523809523
AL,35906,11,10,1,7,11,0.6363636363636364,3489,0.0031527658354829464,0.9090909090909091,0.09090909090909091
AL,35907,3,3,0,3,3,1.0,3489,0.0008598452278589854,1.0,0.0
AL,35950,11,8,3,9,11,0.8181818181818182,3489,0.0031527658354829464,0.7272727272727273,0.2727272727272727
AL,35951,6,4,2,3,6,0.5,3489,0.0017196904557179708,0.6666666666666666,0.3333333333333333
AL,35952,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35956,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35957,7,5,2,7,7,1.0,3489,0.002006305531670966,0.7142857142857143,0.2857142857142857
AL,35958,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35959,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35960,6,6,0,4,6,0.6666666666666666,3489,0.0017196904557179708,1.0,0.0
AL,35962,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35967,9,6,3,7,9,0.7777777777777778,3489,0.0025795356835769563,0.6666666666666666,0.3333333333333333
AL,35968,6,5,1,6,6,1.0,3489,0.0017196904557179708,0.8333333333333334,0.16666666666666666
AL,35974,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35976,16,15,1,9,16,0.5625,3489,0.004585841215247922,0.9375,0.0625
AL,35978,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,35986,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,36003,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,36010,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,36022,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,36027,10,9,1,8,10,0.8,3489,0.002866150759529951,0.9,0.1
