STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio,population,providers_per_10000,individual_providers_per_10000,organization_providers_per_10000
AL,35233,165,154,11,64,165,0.3878787878787879,3489,0.0472914875322441,0.9333333333333332,0.0666666666666666,3236.0,509.8887515451174,475.89616810877624,33.99258343634116
AL,35234,4,3,1,4,4,1.0,3489,0.0011464603038119,0.75,0.25,3828.0,10.449320794148381,7.836990595611285,2.6123301985370952
AL,35235,47,38,9,26,47,0.5531914893617021,3489,0.0134709085697907,0.8085106382978723,0.1914893617021276,19600.0,23.979591836734695,19.387755102040817,4.591836734693877
AL,35242,31,21,10,23,31,0.7419354838709677,3489,0.0088850673545428,0.6774193548387096,0.3225806451612903,56956.0,5.442797949294192,3.687056675328324,1.7557412739658684
AL,35243,36,33,3,23,36,0.6388888888888888,3489,0.0103181427343078,0.9166666666666666,0.0833333333333333,17776.0,20.252025202520255,18.564356435643564,1.6876687668766877
AL,35244,25,20,5,16,25,0.64,3489,0.0071653768988248,0.8,0.2,36775.0,6.798096532970768,5.438477226376615,1.3596193065941538
AL,35249,28,27,1,16,28,0.5714285714285714,3489,0.0080252221266838,0.9642857142857144,0.0357142857142857,28.0,10000.0,9642.857142857143,357.1428571428571
AL,35255,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,,,,
AL,35294,3,2,1,1,3,0.3333333333333333,3489,0.0008598452278589,0.6666666666666666,0.3333333333333333,,,,
AL,35401,45,40,5,22,45,0.4888888888888889,3489,0.0128976784178847,0.8888888888888888,0.1111111111111111,40507.0,11.109191004023996,9.87483644802133,1.2343545560026663
AL,35404,48,45,3,30,48,0.625,3489,0.0137575236457437,0.9375,0.0625,23553.0,20.379569481594704,19.105846388995033,1.273723092599669
AL,35405,6,6,0,5,6,0.8333333333333334,3489,0.0017196904557179,1.0,0.0,48564.0,1.2354830738818878,1.2354830738818878,0.0
AL,35406,33,29,4,24,33,0.7272727272727273,3489,0.0094582975064488,0.8787878787878788,0.1212121212121212,18533.0,17.806075648842604,15.647763448982895,2.1583121998597097
AL,35442,3,2,1,3,3,1.0,3489,0.0008598452278589,0.6666666666666666,0.3333333333333333,5539.0,5.416140097490522,3.610760064993681,1.8053800324968405
AL,35447,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,3194.0,3.1308703819661865,0.0,3.1308703819661865
AL,35453,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,12522.0,0.7985944737262418,0.7985944737262418,0.0
AL,35462,3,1,2,3,3,1.0,3489,0.0008598452278589,0.3333333333333333,0.6666666666666666,4107.0,7.304601899196494,2.4348672997321645,4.869734599464329
AL,35466,2,1,1,2,2,1.0,3489,0.0005732301519059,0.5,0.5,5245.0,3.8131553860819825,1.9065776930409912,1.9065776930409912
AL,35470,2,1,1,2,2,1.0,3489,0.0005732301519059,0.5,0.5,4909.0,4.074149521287431,2.0370747606437156,2.0370747606437156
AL,35473,13,12,1,10,13,0.7692307692307693,3489,0.0037259959873889,0.9230769230769232,0.0769230769230769,19094.0,6.808421493662931,6.284696763381167,0.5237247302817639
AL,35475,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,19991.0,0.5002251012955831,0.5002251012955831,0.0
AL,35476,13,7,6,11,13,0.8461538461538461,3489,0.0037259959873889,0.5384615384615384,0.4615384615384615,8568.0,15.172735760971056,8.169934640522875,7.002801120448179
AL,35481,2,2,0,1,2,0.5,3489,0.0005732301519059,1.0,0.0,2909.0,6.8752148504640775,6.8752148504640775,0.0
AL,35501,30,26,4,19,30,0.6333333333333333,3489,0.0085984522785898,0.8666666666666667,0.1333333333333333,10032.0,29.904306220095695,25.9170653907496,3.9872408293460926
AL,35503,1,0,1,1,1,1.0,3489,0.0002866150759529,0.0,1.0,9601.0,1.0415581710238517,0.0,1.0415581710238517
AL,35504,7,4,3,5,7,0.7142857142857143,3489,0.0020063055316709,0.5714285714285714,0.4285714285714285,13505.0,5.18326545723806,2.9618659755646055,2.2213994816734544
